อัตราการไหล(cc./rpm.),รุ่น โมเดลขึ้นต้น,Max. Pressure Bar( บาร์) P1,Material,รูยึด,ขนาดรูยึด  (WxL) mm.,ยี่ห้อ,Connection
0.9,1sp09,240,Aluminium (อลูมิเนียม),2 รูยึด,82.55,Galtech,เกลียว 
0.9,1sp09,240,Aluminium (อลูมิเนียม),4 รูยึด (Standard),55.8-52.x74.6-70,Galtech,เกลียว 
0.9,1sp09,240,Aluminium (อลูมิเนียม),MC32,40x40,Galtech,เกลียว 
1.1,1PF/1APF/1DPF/1ADPF,200,Aluminium (อลูมิเนียม),B02,40x40,GRH,
1.1,1PF/1APF/1DPF/1ADPF,200,Aluminium (อลูมิเนียม),Z02,52.4x71.9,GRH,
1.2,1sp1.2,240,Aluminium (อลูมิเนียม),2 รูยึด,82.55,Galtech,
1.2,1sp1.2,240,Aluminium (อลูมิเนียม),4 รูยึด (Standard),55.8-52.x74.6-70,Galtech,
1.2,1sp1.6,240,Aluminium (อลูมิเนียม),MC32,40x40,Galtech,
1.6,1sp1.6,240,Aluminium (อลูมิเนียม),2 รูยึด,82.55,Galtech,
1.6,1sp1.6,240,Aluminium (อลูมิเนียม),4 รูยึด (Standard),55.8-52.x74.6-70,Galtech,
1.6,1sp1.6,240,Aluminium (อลูมิเนียม),MC32,40x40,Galtech,
2,1sp2,220,Aluminium (อลูมิเนียม),2 รูยึด,82.55,Galtech,
2,1sp2,220,Aluminium (อลูมิเนียม),4 รูยึด (Standard),55.8-52.x74.6-70,Galtech,
2,1sp2,220,Aluminium (อลูมิเนียม),MC32,40x40,Galtech,
2.5,1sp2.5,220,Aluminium (อลูมิเนียม),2 รูยึด,82.55,Galtech,
2.5,1sp2.5,220,Aluminium (อลูมิเนียม),4 รูยึด (Standard),55.8-52.x74.6-70,Galtech,
2.5,1sp2.5,220,Aluminium (อลูมิเนียม),MC32,40x40,Galtech,
3.2,1sp3.2,210,Aluminium (อลูมิเนียม),2 รูยึด,82.55,Galtech,
3.2,1sp3.2,210,Aluminium (อลูมิเนียม),4 รูยึด (Standard),55.8-52.x74.6-70,Galtech,
3.2,1sp3.2,210,Aluminium (อลูมิเนียม),MC32,40x40,Galtech,
